,A5967,A5980,A6001
Nitab11g015410.1,11.425423565979155,12.195298320915954,9.949292439736391
Nitab11g015420.1,9.249699762454826,10.601677454702397,8.90413023267038
Nitab11g015450.1,26.241098017238905,26.658086628592212,24.84894399915331
Nitab11g015510.1,13.363665063779203,9.90525257455094,8.195579449560283
Nitab11g015520.1,9.890930332919563,8.551157549256601,7.9178801912434595
Nitab11g015530.1,32.566343361532454,36.37517065493934,67.73892571373118
Nitab11g015550.1,5.234870176707993,3.934131741483642,7.128225221739606
Nitab11g015560.1,63.15812234093623,74.35090987000419,83.76286562432973
Nitab11g015570.1,7.125560625379125,6.10020205610566,6.435316615080718
Nitab11g015610.1,231.59438620661507,245.65191223686028,181.61092095758227
Nitab11g015630.1,37.44181048706417,43.16207017046245,44.93184455304174
Nitab11g015650.1,89.98937433030824,128.40593008478888,98.64733971221091
Nitab11g015690.1,10.087345013339906,14.750990766583845,10.173871335253738
Nitab11g015700.1,16.319898019269782,15.968794626747947,14.584216961861934
Nitab11g015710.1,30.125801144598245,28.18505607051445,50.97358652138075
Nitab11g015740.1,10.105856167634025,10.39898101884709,11.988534781167978
Nitab11g015750.1,6.172817478069718,5.568272389947567,6.074954980655949
Nitab11g015760.1,14.182237140335461,15.414693240143722,20.530921643059674
Nitab11g015790.1,3.496223724794129,13.0401816708637,8.601666719583521
Nitab11g015870.1,12.170062755105443,10.29540097586164,5.113703179190321
Nitab11g015900.1,17.332873045409134,17.77575817909173,16.094042446794354
Nitab11g015910.1,10.589639843821608,9.114223189483694,9.137573029704008
Nitab11g015930.1,15.598868828895323,15.524877963150182,15.189638880913627
Nitab11g015940.1,10.853738122866345,11.172786136193224,13.469839228491463
Nitab11g015950.1,8.683655012872032,9.06462197484703,8.697296522568983
Nitab11g015990.1,28.888496023236147,28.926489997602896,27.208215955916245
Nitab11g016010.1,15.37736801859522,17.537596584695983,14.241846358543329
Nitab11g016020.1,26.543003712885625,31.671724119636423,22.80131595855352
Nitab11g016060.1,18.481042276386102,15.293413893076032,14.890016589813628
Nitab11g016110.1,59.93164828602878,68.68783142225418,74.93585482318296
Nitab11g016170.1,9.315040715919633,7.309835278536091,10.200461534844727
Nitab11g016190.1,12.323929109160213,21.15007284378854,17.70432405283353
Nitab11g016200.1,20.172278676737697,19.248254439444487,15.378972977743464
Nitab11g016210.1,6.078456350080161,8.98100402233901,8.481571250705747
Nitab11g016220.1,9.007609543561449,8.582975207583013,10.457920233293583
Nitab11g016240.1,6.86109263663783,6.345169934533906,9.694300970604521
Nitab11g016250.1,48.814986955751124,47.36352479412004,51.989940841257216
Nitab11g016260.1,7.5556392347243575,7.754387626741833,8.113197265730095
Nitab11g016270.1,126.30506080599442,140.24380488162626,93.70341477232421
Nitab11g016280.1,4.974096806897184,5.170482825528864,4.926275853196679
Nitab11g016290.1,7.804762671337086,8.096703635949765,5.328746934800761
Nitab11g016310.1,7.844015747406024,9.17147937506,10.949504352458323
Nitab11g016320.1,22.267388703612795,23.852741301619385,21.33106364248427
Nitab11g016330.1,7.968536769449424,7.079859464240925,7.692859670341824
Nitab11g016340.1,35.85802739864092,32.96988564154852,39.246396590763716
Nitab11g016370.1,21.344086956990115,22.593516364822058,22.56339386064746
Nitab11g016380.1,93.15642248343178,103.47396267737196,86.86105950595636
Nitab11g016390.1,16.563415853698128,16.661864980461964,17.43217277286493
Nitab11g016410.1,7.22360273717796,7.233103175588155,8.68700071481749
Nitab11g016420.1,22.621560368055388,27.842842026214115,22.032900025022997
Nitab11g016430.1,19.96185852364241,23.135563299406527,27.760157465963673
Nitab11g016450.1,18.630875392971493,17.482042590489286,18.671078157191282
Nitab11g016460.1,7.405343060820313,5.685907814246198,5.984902473377199
Nitab11g016470.1,11.848618134840313,13.924893781052127,15.409575550129075
Nitab11g016480.1,12.150005567269428,13.131452856432361,11.49766188709007
Nitab11g016490.1,10.25698277957959,8.83769489263179,12.817707687358304
Nitab11g016500.1,12.42371308681613,14.91474647657271,13.811267984582507
Nitab11g016510.1,29.252134097161374,31.56748519126399,26.122898587936806
Nitab11g016520.1,61.81948383201601,57.174193939032186,20.62942475135154
Nitab11g016530.1,8.532186156105181,4.661626547270834,6.33414554161273
Nitab11g016550.1,16.480245436054084,18.2986401556373,16.87328495853943
Nitab11g016570.1,50.53433439794884,56.37155461745853,57.02143231550193
Nitab11g016590.1,100.38937030367815,104.11686540768618,149.72997943885164
Nitab11g016630.1,8.310609367878035,6.463602085610954,8.125499750400854
Nitab11g016670.1,12.090935057705018,13.228840409309925,7.069808629478819
Nitab11g016680.1,7.953196947828525,4.796883322266817,6.634516697263072
Nitab11g016710.1,18.309021356842397,16.792486265015473,19.311686080214688
Nitab11g016720.1,17.354017958575007,15.07520115949287,19.483238899005205
Nitab11g016730.1,23.22820891308694,24.684001863069337,26.59568261486835
Nitab11g016740.1,11.910277993894837,13.881983445247663,8.897668516949775
Nitab11g016750.1,8.700136183216728,8.317255851389389,8.241474744296323
Nitab11g016760.1,15.633940209749403,17.443512743064844,17.920138999132348
Nitab11g016770.1,5.523410966440835,5.253320121555064,5.254919694999897
Nitab11g016820.1,216.11189508656994,214.57059864271733,209.82142402537553
Nitab11g016830.1,11.300053312716372,9.831411501045258,11.184914871790722
Nitab11g016840.1,39.66499878434589,32.15803542121846,29.469667072845365
Nitab11g016860.1,18.910846788366815,16.997214184476103,16.97824490079524
Nitab11g016870.1,8.8450157256668,8.093031915522076,14.101350625367267
Nitab11g016880.1,65.72709113025611,50.81194408780133,41.28703077902551
Nitab11g016900.1,68.25940324276381,77.09182524707178,77.4108694899815
Nitab11g016960.1,82.80931288307829,80.93481810030389,51.075627240550645
Nitab11g016990.1,6.830139552693386,8.071764548334997,7.327646039689766
Nitab11g017030.1,7.5158632783377906,11.683001540991311,2.435287756094431
Nitab11g017080.1,68.93061233056565,73.61961296700113,76.65533135902996
Nitab11g017100.1,8.931802630503466,8.185621743789993,12.306457554947427
Nitab11g017130.1,90.85017576976041,51.143073670351164,38.9523906482783
Nitab11g017160.1,26.72733012755841,19.302186620754473,20.207090071402572
Nitab11g017170.1,28.16837641113984,35.793440770365216,28.213866859613486
Nitab11g017200.1,17.892586612939727,19.55559629618957,20.65829179044264
Nitab11g017230.1,14.359646653299178,17.83199550222031,12.486690793507993
Nitab11g017240.1,21.232340576857563,18.57545254546674,23.06151817939087
Nitab11g017250.1,21.658353724055914,22.304675029244926,22.907175382667578
Nitab11g017290.1,15.71754571711855,16.562657750807556,16.527272616294535
Nitab11g017340.1,22.863954428646736,26.42927836499668,19.24200081609046
Nitab11g017360.1,22.773982940549168,22.240804220776894,19.159693493744513
Nitab11g017380.1,6.881519481118471,6.707043935862715,9.476428447278444
Nitab11g017390.1,13.955338784160292,15.00277926316425,14.669421876262506
Nitab11g017430.1,12.717687296345767,15.162071692273878,7.1426874270516665
Nitab11g017490.1,7.27274289185264,5.574500144959413,3.8239762287255403
Nitab11g017500.1,6.904800032953722,10.921588582159693,18.858500637143212
Nitab11g017540.1,13.405874997650882,16.72508254831627,17.366864208555427
Nitab11g017560.1,15.947799192134312,14.675633779015161,11.353928509732851
Nitab11g017600.1,35.766413924013754,39.965049399687125,36.199903068895225
Nitab11g017620.1,13.750394920930333,13.006156770892765,13.243982399424073
Nitab11g017660.1,16.33078606054871,15.171585821953451,9.699403234273246
Nitab11g017680.1,24.35635729366212,27.78674294293869,30.55507571280635
Nitab11g017730.1,5.798126802172529,5.013352706933475,4.989286273576577
Nitab11g017740.1,14.819113734091781,8.838490364719341,10.053527486019583
Nitab11g017780.1,35.07541308931477,35.785378832765026,57.128294002243265
Nitab11g017790.1,26.662061922118728,22.19822165367062,18.023540045371934
Nitab11g017800.1,21.291262982970323,23.37200359638476,19.69335049331613
