Nsyl,Ntom,HEB,p_value,q_value
Nitab16g018350.1,Nitab14g017630.1,-0.13458967312863734,0.865590533749,0.99457010474
Nitab11g016290.1,Nitab19g036870.1,-0.13630443081534122,0.865612331603,0.994398764984
Nitab08g008360.1,Nitab02g010400.1,-0.10808904721383063,0.86582736192,0.994351281416
Nitab22g029610.1,Nitab19g014940.1,-0.14674404790696632,0.865829942004,0.994256114197
Nitab01g013580.1,Nitab23g015370.1,-0.1681327666096806,0.865904808174,0.994243965652
Nitab23g011410.1,Nitab23g008700.1,-0.1317627807401055,0.86634024221,0.994547657691
Nitab10g025170.1,Nitab21g018190.1,-0.14161453265697363,0.866385923611,0.994501983539
Nitab22g027280.1,Nitab19g012580.1,-0.11733752658447558,0.86652817104,0.994370986018
Nitab11g024330.1,Nitab13g008430.1,-0.11797583079854805,0.86677151071,0.994454081899
Nitab08g008620.1,Nitab22g008080.1,-0.11957000277009729,0.867034171011,0.994461272931
Nitab03g013540.1,Nitab17g023300.1,-0.1216032475244637,0.86708976903,0.99442702074
Nitab07g022600.1,Nitab04g007930.1,-0.16067976716667823,0.867147660937,0.994395405801
Nitab07g022730.1,Nitab19g036060.1,-0.12597578735568923,0.867185603876,0.994340923009
Nitab06g021700.1,Nitab12g023700.1,-0.14045036593203003,0.867236978811,0.994301850965
Nitab03g028110.1,Nitab22g009230.1,-0.1214520113573255,0.867392165194,0.994283837474
Nitab11g011390.1,Nitab19g014980.1,-0.13083239324147952,0.867403109035,0.994198441365
Nitab21g006650.1,Nitab14g020630.1,-0.11338114856222273,0.867510039046,0.994223068487
Nitab07g020600.1,Nitab19g033480.1,-0.12512551679856143,0.867580142753,0.994205489568
Nitab20g014030.1,Nitab24g017750.1,-0.08778254119637535,0.867603183314,0.994133987301
Nitab06g029740.1,Nitab04g008760.1,-0.1225392228534441,0.867646934643,0.994086227994
Nitab11g013170.1,Nitab13g019400.1,-0.14179447229014522,0.868010759586,0.994405158861
Nitab21g012140.1,Nitab21g014560.1,-0.13311923595182318,0.868051119157,0.994353496999
Nitab17g005290.1,Nitab17g009310.1,-0.14074916976919605,0.868177118793,0.994399936439
Nitab22g028210.1,Nitab12g010170.1,-0.07548204148244571,0.868321090333,0.994369078546
Nitab03g014620.1,Nitab17g039620.1,-0.10824547705025768,0.868398475604,0.994359836856
Nitab10g010020.1,Nitab02g009430.1,-0.1395927899694041,0.86844441562,0.994216767036
Nitab20g005710.1,Nitab24g025010.1,-0.12895286469200382,0.868800058535,0.994134868828
Nitab11g014130.1,Nitab13g021930.1,-0.12001399951697139,0.868876522041,0.9941246028
Nitab16g020110.1,Nitab12g017480.1,-0.12115272613587962,0.869114617294,0.994103773403
Nitab06g031300.1,Nitab15g009010.1,-0.13644903372061795,0.869663804641,0.994536415804
Nitab17g006270.1,Nitab17g009200.1,-0.12514681293371102,0.869683093447,0.994460738536
